id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
86818,3500,26,Femenino,1,7191,5531,655,1500,3595,6.1,5,0,0
163537,3500,27,Femenino,2,0,4165,406,-4000,0,0.9,9,1,0
128765,3500,20,Femenino,0,8456,4756,482,3500,8456,1.8,3,1,0
123347,5500,44,Femenino,1,10600,3180,458,7000,5300,1.5,2,0,0
72589,4000,18,Femenino,0,7968,2766,553,4700,7968,2.9,2,1,1
98531,5500,45,Femenino,0,14220,9298,393,4500,14220,0.9,8,0,1
72332,3500,59,Femenino,0,6972,2766,461,3800,6972,1.5,2,0,0
88243,6000,24,Femenino,0,11052,6631,628,4000,11052,5.3,6,1,0
121948,3500,41,Femenino,1,21220,8488,427,12000,10610,1.2,1,0,1
59621,13500,32,Femenino,1,27821,18918,548,8000,13910,2.75,1,0,0
111124,3500,38,Masculino,4,1617,862,485,700,323,1.8,11,1,0
134557,3500,32,Femenino,3,6329,4746,444,1500,1582,1.3,4,0,1
67750,3500,46,Masculino,0,13354,3895,0,8500,13354,0.0,1,0,0
92604,3500,26,Femenino,0,10999,0,543,10000,10999,2.75,7,1,1
78296,3500,19,Masculino,0,52979,993,0,47100,52979,0.0,3,0,0
126326,6500,52,Masculino,0,10570,0,563,10000,10570,3.2,3,0,0
133118,4000,26,Femenino,0,0,3164,659,-3000,0,6.1,4,0,0
79054,3500,43,Femenino,1,5519,2759,0,2500,2759,0.0,4,1,0
128048,3500,25,Femenino,0,9513,2114,616,7000,9513,5.3,3,1,0
133678,3500,26,Femenino,0,10021,5274,531,4500,10021,2.6,4,0,0
79848,3500,24,Femenino,0,6402,4967,669,1300,6402,8.3,4,0,0
89056,2500,55,Femenino,0,2210,5526,447,-3000,2210,1.3,6,1,1
108524,3500,53,Femenino,1,10307,9764,543,500,5153,2.75,10,0,0
91087,6000,32,Femenino,3,33157,16578,483,15000,8289,1.8,6,0,0
129400,5500,24,Masculino,0,8456,1585,566,6500,8456,3.2,3,1,1
83413,3500,37,Femenino,0,26530,2765,486,21480,26530,1.8,5,0,0
69685,4500,29,Femenino,1,11128,1112,658,9000,5564,6.1,1,0,0
152877,3500,48,Femenino,1,0,5209,425,-5000,0,1.2,8,1,0
68601,6000,22,Femenino,0,10015,0,519,9000,10015,2.2,1,0,1
78532,4500,43,Masculino,0,9050,3752,555,4800,9050,2.9,3,1,1
92305,3500,25,Femenino,2,3299,1649,477,1500,1099,1.6,7,1,0
72302,8000,67,Femenino,0,16600,5754,420,9800,16600,1.2,2,1,0
101409,3500,35,Masculino,2,16335,3267,495,12000,5445,1.9,9,0,0
99449,5500,25,Masculino,2,19690,6563,557,12000,6563,2.9,8,0,0
148474,5500,29,Femenino,1,0,5209,480,-5000,0,1.8,7,1,1
82491,6000,44,Femenino,0,8831,3863,681,4500,8831,8.3,4,0,1
151520,3500,63,Masculino,0,12503,5730,570,6500,12503,3.2,7,0,0
104732,3500,35,Femenino,0,9764,3797,0,5500,9764,0.0,10,0,1
131163,3500,22,Femenino,0,8439,2531,530,5600,8439,2.6,4,1,0
150762,3500,33,Femenino,0,0,2500,440,-2400,0,1.3,7,1,0
138531,5500,43,Femenino,1,0,2113,525,-2000,0,2.2,5,0,0
136638,5500,47,Femenino,1,7397,4755,442,2500,3698,1.3,5,1,0
84366,6000,34,Masculino,0,22127,11063,597,10000,22127,4.0,5,1,0
124950,11000,25,Femenino,0,12720,8480,447,4000,12720,1.3,2,1,1
122042,3500,38,Femenino,0,10610,5305,449,5000,10610,1.3,1,0,0
79724,11500,49,Femenino,1,16559,8831,544,7000,8279,2.75,4,0,0
132241,5500,29,Femenino,2,8439,4746,461,3500,2813,1.5,4,1,0
73198,3500,30,Femenino,0,11066,7746,635,3000,11066,6.1,2,1,0
130974,3500,19,Femenino,0,13713,5274,580,8000,13713,3.5,4,0,1
162061,3500,52,Femenino,0,0,4165,430,-4000,0,1.2,9,1,1
110918,5500,34,Masculino,0,8085,0,464,7500,8085,1.5,11,1,1
67739,3500,33,Masculino,3,16693,6120,540,9500,4173,2.75,1,0,0
161202,3500,51,Femenino,0,12496,2603,485,9500,12496,1.8,9,0,0
157159,7500,40,Femenino,3,15628,6772,675,8500,3907,8.3,8,0,0
156859,3500,29,Femenino,2,12502,5209,449,7000,4167,1.3,8,0,0
79520,3500,25,Femenino,3,6623,4415,537,2000,1655,2.6,4,0,0
67628,6000,36,Masculino,0,12797,0,423,11500,12797,1.2,1,1,0
111923,3500,22,Femenino,1,9702,4312,0,5000,4851,0.0,11,0,0
132109,3500,42,Masculino,1,0,1265,511,-1200,0,2.1,4,1,1
114616,5500,37,Femenino,0,20982,2205,418,17540,20982,1.2,12,0,0
83949,3500,23,Masculino,0,8850,1659,521,6500,8850,2.2,5,0,0
94863,5500,50,Femenino,0,13199,5499,624,7000,13199,5.3,7,0,0
